output1 output2 output3 output4 output5 output6 output7
hs1 77670 78383 hs12 3585419 3584712 color=lgrey
hs1 78935 79849 hs12 3584161 3583247 color=lgrey
hs1 80240 81118 hs12 3582858 3581980 color=lgrey
hs1 82138 83388 hs12 3580960 3579710 color=lgrey
hs1 83399 84109 hs12 3579699 3578989 color=lgrey
hs1 84124 85173 hs12 3578974 3577925 color=lgrey
hs1 85234 86160 hs12 3577864 3576938 color=lgrey
hs1 86239 86934 hs12 3576859 3576164 color=lgrey
hs1 87293 88195 hs12 3575803 3574901 color=lgrey
hs1 88185 89381 hs12 3574911 3573715 color=lgrey
hs1 89525 90565 hs12 3573581 3572532 color=lgrey
hs1 90663 91289 hs12 3572434 3571808 color=lgrey
hs1 91286 92068 hs12 3571811 3571029 color=lgrey
hs1 92070 93131 hs12 3571027 3569963 color=lgrey
hs1 93275 94300 hs12 3569819 3568794 color=lgrey
hs1 94533 95780 hs12 3568561 3567314 color=lgrey
hs1 95764 96195 hs12 3567330 3566899 color=lgrey
hs1 96594 98222 hs12 3566500 3564872 color=lgrey
hs1 98642 100336 hs12 3564451 3562757 color=lgrey
hs1 100971 101720 hs12 3562122 3561373 color=lgrey
hs1 101717 102685 hs12 3561376 3560408 color=lgrey
hs1 102682 103848 hs12 3560411 3559245 color=lgrey
hs1 103921 104829 hs12 3559172 3558264 color=lgrey
hs1 105700 106611 hs12 3557393 3556482 color=lgrey
hs1 106791 108392 hs12 3556302 3554701 color=lgrey
hs1 108691 109887 hs12 3554400 3553204 color=lgrey
hs1 109940 110524 hs12 3553160 3552576 color=lgrey
hs1 110833 111789 hs12 3552267 3551311 color=lgrey
hs1 112081 113427 hs12 3551020 3549680 color=lgrey
hs1 113444 114325 hs12 3549663 3548782 color=lgrey
hs1 114559 115815 hs12 3548549 3547293 color=lgrey
hs1 116017 116730 hs12 3547090 3546377 color=lgrey
hs1 116763 117446 hs12 3546344 3545661 color=lgrey
hs1 117514 118392 hs12 3545618 3544737 color=lgrey
hs1 118889 119416 hs12 3544240 3543713 color=lgrey
hs1 119852 121051 hs12 3543277 3542078 color=lgrey
hs1 121121 122038 hs12 3542008 3541091 color=lgrey
hs1 122110 123102 hs12 3541019 3540027 color=lgrey
hs1 123713 124897 hs12 3539416 3538232 color=lgrey
hs1 125131 126222 hs12 3537998 3536907 color=lgrey
hs1 126587 127252 hs12 3515129 3514464 color=lgrey
hs1 127266 128630 hs12 3514450 3513074 color=lgrey
hs1 129150 130025 hs12 3512554 3511679 color=lgrey
hs1 130086 132008 hs12 3511618 3509696 color=lgrey
hs1 132492 133580 hs12 3509215 3508127 color=lgrey
hs1 133556 134905 hs12 3508151 3506802 color=lgrey
hs1 134931 135437 hs12 3506776 3506270 color=lgrey
hs1 135851 136795 hs12 3505898 3504912 color=lgrey
hs1 136900 137535 hs12 3504807 3504172 color=lgrey
hs1 138276 138734 hs12 3503431 3502973 color=lgrey
hs1 138763 139224 hs12 3502944 3502483 color=lgrey
hs1 139248 139748 hs12 3502459 3501959 color=lgrey
hs1 139887 142397 hs12 3501819 3499309 color=lgrey
hs1 142481 143209 hs12 3499225 3498497 color=lgrey
hs1 143235 144278 hs12 3498471 3497182 color=lgrey
hs1 144756 145730 hs12 3496949 3495975 color=lgrey
hs1 145866 146669 hs12 3495839 3495036 color=lgrey
hs1 146666 147589 hs12 3495039 3494116 color=lgrey
hs1 148112 148984 hs12 3493593 3492721 color=lgrey
hs1 149168 152320 hs12 3492538 3489386 color=lgrey
hs1 152317 153477 hs12 3489389 3488229 color=lgrey
hs1 153673 157506 hs12 3488033 3484200 color=lgrey
hs1 157998 159794 hs12 3483709 3481913 color=lgrey
hs1 160487 161695 hs12 3481216 3480008 color=lgrey
hs1 162097 164307 hs12 3479605 3477395 color=lgrey
hs1 168449 169117 hs12 3473266 3472598 color=lgrey
hs1 169965 171131 hs12 3471750 3470584 color=lgrey
hs1 171341 172366 hs12 3470375 3469344 color=lgrey
hs1 172498 173556 hs12 3469214 3468156 color=lgrey
hs1 173577 174338 hs12 3468134 3467373 color=lgrey
hs1 174420 174980 hs12 3467291 3466731 color=lgrey
hs1 175656 176249 hs12 3466052 3465459 color=lgrey
hs1 176517 177914 hs12 3465190 3463793 color=lgrey
hs1 177911 178333 hs12 3463796 3463374 color=lgrey
hs1 178344 180413 hs12 3463363 3461294 color=lgrey
hs1 180663 181535 hs12 3461045 3460173 color=lgrey
hs1 181951 182409 hs12 3459755 3459297 color=lgrey
hs1 183625 184428 hs12 3458081 3457278 color=lgrey
hs1 184503 185444 hs12 3457203 3456262 color=lgrey
hs1 185738 188299 hs12 3455969 3453408 color=lgrey
hs1 188823 190661 hs12 3452884 3451049 color=lgrey
hs1 191733 193367 hs12 3449977 3448343 color=lgrey
hs1 194102 196369 hs12 3447608 3445341 color=lgrey
hs1 196374 196841 hs12 3445336 3444869 color=lgrey
hs1 196838 197746 hs12 3444872 3443964 color=lgrey
hs1 197743 198789 hs12 3443967 3442921 color=lgrey
hs1 199175 199729 hs12 3442535 3441981 color=lgrey
hs1 200295 201986 hs12 3441415 3439724 color=lgrey
hs1 202309 203049 hs12 3439403 3438663 color=lgrey
hs1 203059 203802 hs12 3438653 3437910 color=lgrey
hs1 203889 205421 hs12 3437823 3436291 color=lgrey
hs1 205788 206228 hs12 3435924 3435484 color=lgrey
hs1 206232 207311 hs12 3435480 3434401 color=lgrey
hs1 207440 208480 hs12 3434272 3433232 color=lgrey
hs1 208510 209064 hs12 3433202 3432648 color=lgrey
hs1 209131 210069 hs12 3432581 3431643 color=lgrey
hs1 210069 210941 hs12 3431643 3430771 color=lgrey
hs1 211169 211906 hs12 3430544 3429807 color=lgrey
hs1 211918 213369 hs12 3429795 3428344 color=lgrey
hs1 213371 213928 hs12 3428342 3427785 color=lgrey
hs1 214522 214935 hs12 3427191 3426778 color=lgrey
hs1 215330 216118 hs12 3426383 3425595 color=lgrey
hs1 216136 216627 hs12 3425577 3425086 color=lgrey
hs1 216624 217742 hs12 3425089 3423971 color=lgrey
hs1 217739 218290 hs12 3423974 3423423 color=lgrey
hs1 218287 219000 hs12 3423426 3422713 color=lgrey
hs1 219037 219543 hs12 3422676 3422170 color=lgrey
hs1 219540 220277 hs12 3422173 3421436 color=lgrey
hs1 220340 222283 hs12 3421374 3419431 color=lgrey
hs1 222610 223524 hs12 3419105 3418191 color=lgrey
hs1 223783 224703 hs12 3417932 3417012 color=lgrey
hs1 224960 225880 hs12 3416757 3415837 color=lgrey
hs1 226121 227041 hs12 3415596 3414676 color=lgrey
hs1 227278 228252 hs12 3414439 3413465 color=lgrey
hs1 228489 229136 hs12 3413228 3412581 color=lgrey
hs1 229133 230488 hs12 3412584 3411229 color=lgrey
hs1 230492 231790 hs12 3411225 3409924 color=lgrey
hs1 231793 233382 hs12 3409921 3408332 color=lgrey
hs1 233336 233893 hs12 3408378 3407821 color=lgrey
hs1 234175 234846 hs12 3407539 3406868 color=lgrey
hs1 234997 236262 hs12 3406717 3405452 color=lgrey
hs1 236284 237750 hs12 3405430 3403964 color=lgrey
hs1 237762 238820 hs12 3403952 3402894 color=lgrey
hs1 239201 239650 hs12 3402513 3402064 color=lgrey
hs1 239641 240156 hs12 3402073 3401558 color=lgrey
hs1 240660 242747 hs12 3400211 3398124 color=lgrey
hs1 242744 243496 hs12 3398127 3397375 color=lgrey
hs1 243963 244562 hs12 3396908 3396309 color=lgrey
hs1 244941 245480 hs12 3395930 3395391 color=lgrey
hs1 245622 247535 hs12 3395249 3393336 color=lgrey
hs1 247655 248554 hs12 3393216 3392317 color=lgrey
hs1 248562 249587 hs12 3392309 3391284 color=lgrey
hs1 249905 251266 hs12 3390966 3389605 color=lgrey
hs1 251312 252403 hs12 3389559 3388468 color=lgrey
hs1 252405 253568 hs12 3388466 3387303 color=lgrey
hs1 253605 255257 hs12 3387266 3385614 color=lgrey
hs1 255282 256376 hs12 3385589 3384495 color=lgrey
hs1 256487 256897 hs12 3384384 3383974 color=lgrey
hs1 256968 257432 hs12 3383902 3383438 color=lgrey
hs1 258528 260345 hs12 3381737 3379920 color=lgrey
hs1 260414 261112 hs12 3379851 3379153 color=lgrey
hs1 261123 262598 hs12 3379142 3377667 color=lgrey
hs1 262727 264025 hs12 3377538 3376240 color=lgrey
hs1 264041 265477 hs12 3376224 3374788 color=lgrey
hs1 265622 266803 hs12 3374643 3373462 color=lgrey
hs1 267396 269951 hs12 3372869 3370314 color=lgrey
hs1 270243 271340 hs12 3370019 3368922 color=lgrey
hs1 271439 272581 hs12 3368823 3367681 color=lgrey
hs1 272583 273497 hs12 3367679 3366765 color=lgrey
hs1 273501 274316 hs12 3366761 3365946 color=lgrey
hs1 274317 276170 hs12 3365945 3364092 color=lgrey
hs1 276369 278321 hs12 3363893 3361941 color=lgrey
hs1 278539 282534 hs12 3361723 3357728 color=lgrey
hs1 283282 283938 hs12 3356974 3356318 color=lgrey
hs1 283935 285314 hs12 3356321 3354942 color=lgrey
hs1 285401 286021 hs12 3354856 3354191 color=lgrey
hs1 286130 286963 hs12 3354127 3353294 color=lgrey
hs1 286973 287674 hs12 3353284 3352583 color=lgrey
hs1 287684 289030 hs12 3352566 3351226 color=lgrey
hs1 290099 290980 hs12 3350127 3349246 color=lgrey
hs1 291099 292595 hs12 3349127 3347631 color=lgrey
hs1 292765 293253 hs12 3347460 3346972 color=lgrey
hs1 293599 295194 hs12 3346626 3345031 color=lgrey
hs1 295279 296283 hs12 3344946 3343942 color=lgrey
hs1 296294 297184 hs12 3343931 3343041 color=lgrey
hs1 297184 298200 hs12 3343041 3342025 color=lgrey
hs1 298197 299150 hs12 3342028 3341075 color=lgrey
hs1 299175 299699 hs12 3341050 3340526 color=lgrey
hs1 299710 300930 hs12 3340515 3339295 color=lgrey
hs1 301064 302311 hs12 3339161 3337914 color=lgrey
hs1 302399 302893 hs12 3337826 3337332 color=lgrey
hs1 302893 303945 hs12 3337332 3336280 color=lgrey
hs1 304145 304681 hs12 3336080 3335544 color=lgrey
hs1 304743 305396 hs12 3335481 3334828 color=lgrey
hs1 305393 306193 hs12 3334831 3334031 color=lgrey
hs1 306300 307895 hs12 3333924 3332329 color=lgrey
hs1 307909 308628 hs12 3332315 3331596 color=lgrey
hs1 309093 310547 hs12 3331131 3329704 color=lgrey
hs1 310807 311679 hs12 3329417 3328545 color=lgrey
hs1 311944 313449 hs12 3328280 3326775 color=lgrey
hs1 314573 315472 hs12 3325587 3324688 color=lgrey
hs1 315594 317078 hs12 3324566 3323082 color=lgrey
hs1 317162 318115 hs12 3322998 3322045 color=lgrey
hs1 318725 320098 hs12 3321435 3320062 color=lgrey
hs1 320252 320989 hs12 3319908 3319171 color=lgrey
hs1 321004 322497 hs12 3319156 3317663 color=lgrey
hs1 322534 323046 hs12 3317626 3317114 color=lgrey
hs1 323414 323857 hs12 3316748 3316305 color=lgrey
hs1 323879 324550 hs12 3316283 3315612 color=lgrey
hs1 324832 325512 hs12 3315331 3314651 color=lgrey
hs1 325648 326397 hs12 3314515 3313763 color=lgrey
hs1 326598 327227 hs12 3313561 3312932 color=lgrey
hs1 327179 327790 hs12 3312935 3312369 color=lgrey
hs1 327802 328512 hs12 3312356 3311646 color=lgrey
hs1 328747 329793 hs12 3311411 3310365 color=lgrey
hs1 329841 330470 hs12 3310318 3309689 color=lgrey
hs1 331551 332321 hs12 3308607 3307837 color=lgrey
hs1 332551 334176 hs12 3307607 3306033 color=lgrey
hs1 334208 335329 hs12 3306001 3304880 color=lgrey
hs1 335326 336027 hs12 3304883 3304182 color=lgrey
hs1 336102 336548 hs12 3304107 3303661 color=lgrey
hs1 336748 337455 hs12 3303461 3302754 color=lgrey
hs1 337509 337952 hs12 3302698 3302255 color=lgrey
hs1 338673 340313 hs12 3301534 3299882 color=lgrey
hs1 340809 341837 hs12 3299386 3298358 color=lgrey
hs1 341859 342839 hs12 3298336 3297356 color=lgrey
hs1 343158 344633 hs12 3297037 3295562 color=lgrey
hs1 344675 345115 hs12 3295520 3295080 color=lgrey
hs1 345820 348747 hs12 3294375 3291409 color=lgrey
hs1 348948 349511 hs12 3291208 3290645 color=lgrey
hs1 349528 349983 hs12 3290628 3290173 color=lgrey
hs1 350069 352186 hs12 3290087 3287973 color=lgrey
hs1 352193 352753 hs12 3287966 3287406 color=lgrey
hs1 352766 353635 hs12 3287393 3286524 color=lgrey
hs1 353632 355437 hs12 3286527 3284722 color=lgrey
hs1 355557 356903 hs12 3284602 3283256 color=lgrey
hs1 357002 357811 hs12 3283157 3282348 color=lgrey
hs1 358285 359604 hs12 3281874 3280555 color=lgrey
hs1 359615 360346 hs12 3280547 3279813 color=lgrey
hs1 360405 361454 hs12 3279754 3278705 color=lgrey
hs1 361742 363556 hs12 3278417 3276603 color=lgrey
hs1 363890 365626 hs12 3276269 3274533 color=lgrey
hs1 365738 367093 hs12 3274421 3273066 color=lgrey
hs1 367225 369270 hs12 3272934 3270889 color=lgrey
hs1 369343 369900 hs12 3270818 3270261 color=lgrey
hs1 370179 371066 hs12 3269982 3269095 color=lgrey
hs1 371071 371703 hs12 3269088 3268456 color=lgrey
hs1 371700 372629 hs12 3268459 3267530 color=lgrey
hs1 372629 373417 hs12 3267530 3266742 color=lgrey
hs1 373528 374325 hs12 3266631 3265834 color=lgrey
hs1 374530 375264 hs12 3265627 3264893 color=lgrey
hs1 375642 376814 hs12 3264514 3263342 color=lgrey
hs1 377226 378203 hs12 3262930 3261953 color=lgrey
hs1 378257 380122 hs12 3261899 3260034 color=lgrey
hs1 380216 381397 hs12 3259940 3258759 color=lgrey
hs1 382088 382840 hs12 3258125 3257316 color=lgrey
hs1 383212 383793 hs12 3256944 3256363 color=lgrey
hs1 383797 384288 hs12 3256359 3255868 color=lgrey
hs1 384341 385015 hs12 3255815 3255141 color=lgrey
hs1 385129 386286 hs12 3255027 3253870 color=lgrey
hs1 386378 386950 hs12 3253777 3253205 color=lgrey
hs1 386969 387523 hs12 3253187 3252633 color=lgrey
hs1 387520 388428 hs12 3252636 3251737 color=lgrey
hs1 388435 390270 hs12 3251721 3249886 color=lgrey
hs1 390390 391406 hs12 3249766 3248750 color=lgrey
hs1 391754 392527 hs12 3248414 3247641 color=lgrey
hs1 392594 393931 hs12 3247574 3246237 color=lgrey
hs1 394278 394997 hs12 3245981 3245169 color=lgrey
hs1 395178 397106 hs12 3244988 3243060 color=lgrey
hs1 397317 398180 hs12 3242849 3241986 color=lgrey
hs1 399177 400136 hs12 3240989 3240030 color=lgrey
hs1 400231 400782 hs12 3239935 3239384 color=lgrey
hs1 400878 402152 hs12 3239287 3238013 color=lgrey
hs1 402201 404135 hs12 3237964 3236030 color=lgrey
hs1 404935 407169 hs12 3235358 3233124 color=lgrey
hs1 407227 407808 hs12 3233067 3232486 color=lgrey
hs1 407978 409795 hs12 3232316 3230499 color=lgrey
hs1 410177 410623 hs12 3230117 3229671 color=lgrey
hs1 410740 412011 hs12 3229555 3228284 color=lgrey
hs1 414626 415885 hs12 3225669 3224410 color=lgrey
hs1 416015 416824 hs12 3224279 3223470 color=lgrey
hs1 416950 417912 hs12 3223344 3222382 color=lgrey
hs1 417962 418528 hs12 3222330 3221764 color=lgrey
hs1 418848 421424 hs12 3221444 3218868 color=lgrey
hs1 421656 424406 hs12 3218636 3215886 color=lgrey
hs1 424440 425864 hs12 3215851 3214427 color=lgrey
hs1 425919 426893 hs12 3214355 3213381 color=lgrey
hs1 427473 428426 hs12 3212802 3211849 color=lgrey
hs1 428509 429117 hs12 3211761 3211153 color=lgrey
hs1 429730 430974 hs12 3210539 3209295 color=lgrey
hs1 430977 432062 hs12 3209250 3208207 color=lgrey
hs1 432075 433007 hs12 3208194 3207262 color=lgrey
hs1 433030 433623 hs12 3207125 3206646 color=lgrey
hs1 433680 434678 hs12 3206589 3205591 color=lgrey
hs1 434815 436590 hs12 3205454 3203679 color=lgrey
hs1 436613 437365 hs12 3203656 3202904 color=lgrey
hs1 437384 438634 hs12 3202885 3201635 color=lgrey
hs1 438631 439386 hs12 3201638 3200883 color=lgrey
hs1 439817 441817 hs12 3200452 3198452 color=lgrey
hs1 441875 442765 hs12 3198394 3197504 color=lgrey
hs1 442933 443664 hs12 3197336 3196605 color=lgrey
hs1 443957 445873 hs12 3196313 3194397 color=lgrey
hs1 446024 446947 hs12 3194246 3193323 color=lgrey
hs1 447371 448315 hs12 3192899 3191955 color=lgrey
hs1 448882 449445 hs12 3191388 3190825 color=lgrey
hs1 449475 450077 hs12 3190795 3190193 color=lgrey
hs1 450077 450754 hs12 3190193 3189516 color=lgrey
hs1 450834 452054 hs12 3189436 3188216 color=lgrey
hs1 452124 453224 hs12 3188146 3187046 color=lgrey
hs1 453235 454332 hs12 3187035 3185938 color=lgrey
hs1 455042 455635 hs12 3185228 3184635 color=lgrey
hs1 455656 456474 hs12 3184614 3183796 color=lgrey
hs1 457198 457812 hs12 3183674 3182457 color=lgrey
hs1 458074 459078 hs12 3182195 3181191 color=lgrey
hs1 459092 460630 hs12 3181178 3179640 color=lgrey
hs1 460728 463286 hs12 3179542 3176984 color=lgrey
hs1 463366 463824 hs12 3176905 3176447 color=lgrey
hs1 463886 464506 hs12 3176385 3175765 color=lgrey
hs1 464511 465569 hs12 3175760 3174702 color=lgrey
hs1 465813 467126 hs12 3174458 3173145 color=lgrey
hs1 467581 468996 hs12 3172690 3171275 color=lgrey
hs1 469058 469675 hs12 3171213 3170596 color=lgrey
hs1 469758 470372 hs12 3170513 3169899 color=lgrey
hs1 470713 471603 hs12 3169558 3168668 color=lgrey
hs1 471623 473323 hs12 3168647 3166947 color=lgrey
hs1 473384 474340 hs12 3166886 3165930 color=lgrey
hs1 474487 475098 hs12 3165783 3165172 color=lgrey
hs1 475160 476035 hs12 3165111 3164236 color=lgrey
hs1 476559 477323 hs12 3163740 3162976 color=lgrey
hs1 477451 478458 hs12 3162849 3161842 color=lgrey
hs1 478492 479460 hs12 3161808 3160840 color=lgrey
hs1 479457 479897 hs12 3160843 3160403 color=lgrey
hs1 480347 480832 hs12 3159953 3159468 color=lgrey
hs1 480896 481699 hs12 3159406 3158603 color=lgrey
hs1 481867 482472 hs12 3158436 3157831 color=lgrey
hs1 482856 483941 hs12 3157447 3156362 color=lgrey
hs1 483971 486883 hs12 3156332 3153420 color=lgrey
hs1 486883 487494 hs12 3153420 3152809 color=lgrey
hs1 487542 488840 hs12 3152761 3151463 color=lgrey
hs1 488858 490258 hs12 3151445 3150045 color=lgrey
hs1 490569 491192 hs12 3149733 3149110 color=lgrey
hs1 492062 492754 hs12 3148111 3147419 color=lgrey
hs1 492913 493581 hs12 3147260 3146592 color=lgrey
hs1 493756 494340 hs12 3146416 3145832 color=lgrey
hs1 494732 495445 hs12 3145440 3144727 color=lgrey
hs1 497005 498138 hs12 3143183 3142050 color=lgrey
hs1 498623 499237 hs12 3141565 3140951 color=lgrey
hs1 499254 500345 hs12 3140934 3139843 color=lgrey
hs1 500433 500933 hs12 3139755 3139264 color=lgrey
hs1 501695 502384 hs12 3138466 3137777 color=lgrey
hs1 502775 506233 hs12 3137365 3133907 color=lgrey
hs1 506318 507010 hs12 3133823 3133128 color=lgrey
hs1 507131 507766 hs12 3133007 3132372 color=lgrey
hs1 508315 509487 hs12 3131823 3130651 color=lgrey
hs1 509534 510766 hs12 3130604 3129372 color=lgrey
hs1 510770 514000 hs12 3129368 3126138 color=lgrey
hs1 513997 516234 hs12 3126141 3123910 color=lgrey
hs1 516281 516745 hs12 3120488 3120024 color=lgrey
hs1 517561 518214 hs12 3119208 3118555 color=lgrey
hs1 518384 518881 hs12 3118384 3117887 color=lgrey
hs1 519272 521818 hs12 3117496 3114950 color=lgrey
hs1 522268 523266 hs12 3114500 3113502 color=lgrey
hs1 523270 524292 hs12 3113498 3112476 color=lgrey
hs1 524282 525826 hs12 3112486 3110942 color=lgrey
hs1 525897 526910 hs12 3110871 3109858 color=lgrey
hs1 527059 528456 hs12 3109709 3108312 color=lgrey
hs1 528507 529565 hs12 3108261 3107203 color=lgrey
hs1 529562 531043 hs12 3107206 3105605 color=lgrey
hs1 531283 532329 hs12 3105485 3104439 color=lgrey
hs1 532397 533608 hs12 3104370 3103159 color=lgrey
hs1 533732 534949 hs12 3103036 3101819 color=lgrey
hs1 535339 536232 hs12 3101429 3100536 color=lgrey
hs1 536362 537852 hs12 3100406 3098916 color=lgrey
hs1 539305 541971 hs12 3097479 3094813 color=lgrey
hs1 542059 542979 hs12 3094725 3093805 color=lgrey
hs1 542983 543438 hs12 3093801 3093346 color=lgrey
hs1 543474 544388 hs12 3093310 3092396 color=lgrey
hs1 546089 547138 hs12 3090568 3089519 color=lgrey
hs1 547220 547921 hs12 3089437 3088736 color=lgrey
hs1 548136 548741 hs12 3088521 3087916 color=lgrey
hs1 548795 549823 hs12 3087862 3086834 color=lgrey
hs1 550001 550423 hs12 3086657 3086235 color=lgrey
hs1 550702 551199 hs12 3085956 3085459 color=lgrey
hs1 552574 554310 hs12 3084290 3082380 color=lgrey
hs1 554945 555442 hs12 3082238 3081249 color=lgrey
hs1 555611 556726 hs12 3081080 3079965 color=lgrey
hs1 556888 558237 hs12 3079821 3078472 color=lgrey
hs1 558810 559493 hs12 3077845 3077216 color=lgrey
hs1 559678 560466 hs12 3077039 3076251 color=lgrey
hs1 560643 561755 hs12 3076079 3074967 color=lgrey
hs1 562126 562653 hs12 3074596 3074069 color=lgrey
hs1 579323 580156 hs11 138995 138162 color=vvdyellow
hs1 608998 610482 hs12 3069844 3068360 color=lgrey
hs1 611332 612375 hs12 3067510 3066467 color=lgrey
hs1 612419 613903 hs12 3066423 3064939 color=lgrey
hs1 613905 614858 hs12 3064937 3063984 color=lgrey
hs1 614962 615693 hs12 3063880 3063149 color=lgrey
hs1 616053 616499 hs12 3062789 3062343 color=lgrey
hs1 616500 617867 hs12 3062342 3060975 color=lgrey
hs1 619504 621156 hs12 3059322 3057670 color=lgrey
hs1 621876 623339 hs12 3056950 3055487 color=lgrey
hs1 623341 624870 hs12 3055485 3053956 color=lgrey
hs1 624867 625466 hs12 3053959 3053360 color=lgrey
hs1 625637 626185 hs12 3053228 3052641 color=lgrey
hs1 626805 628601 hs12 3052023 3050227 color=lgrey
hs1 628679 629677 hs12 3050149 3049151 color=lgrey
hs1 629795 630790 hs12 3049033 3048038 color=lgrey
hs1 630819 631574 hs12 3048009 3047254 color=lgrey
hs1 632160 632780 hs12 3046668 3046048 color=lgrey
hs1 632784 633443 hs12 3046044 3045385 color=lgrey
hs1 633595 634956 hs12 3045282 3043924 color=lgrey
hs1 635142 636140 hs12 3042791 3041793 color=lgrey
hs1 636562 638199 hs12 3041560 3039923 color=lgrey
hs1 638294 639310 hs12 3039828 3038812 color=lgrey
hs1 639780 641915 hs12 3038332 3036197 color=lgrey
hs1 642274 643644 hs12 3035238 3033865 color=lgrey
hs1 643943 644740 hs12 3033621 3032824 color=lgrey
hs1 644909 645640 hs12 3032655 3031924 color=lgrey
hs1 645660 646124 hs12 3031904 3031440 color=lgrey
hs1 647106 647531 hs12 3030461 3030036 color=lgrey
hs1 647752 648525 hs12 3029815 3029042 color=lgrey
hs1 648556 649677 hs12 3029011 3027890 color=lgrey
hs1 650634 652190 hs12 3026934 3025378 color=lgrey
hs1 653402 654175 hs12 3024165 3023392 color=lgrey
hs1 654236 655795 hs12 3023331 3021772 color=lgrey
hs1 656170 656628 hs12 3021397 3020939 color=lgrey
hs1 656955 658034 hs12 3020611 3019532 color=lgrey
hs1 658243 659130 hs12 3019323 3018436 color=lgrey
hs1 659689 660303 hs12 3017877 3017263 color=lgrey
hs1 660434 661285 hs12 3017132 3016281 color=lgrey
hs1 662166 663404 hs12 3015402 3014164 color=lgrey
hs1 663401 664108 hs12 3014167 3013460 color=lgrey
hs1 664200 665039 hs12 3013368 3012529 color=lgrey
hs1 665486 666226 hs12 3012082 3011342 color=lgrey
