output1 output2 output3 output4 output5 output6 output7
hs1 446391 447314 hs10 3194246 3193323 color=lgrey
hs1 447738 448682 hs10 3192899 3191955 color=lgrey
hs1 449249 449812 hs10 3191388 3190825 color=lgrey
hs1 449842 450444 hs10 3190795 3190193 color=lgrey
hs1 450444 451121 hs10 3190193 3189516 color=lgrey
hs1 451201 452421 hs10 3189436 3188216 color=lgrey
hs1 452491 453591 hs10 3188146 3187046 color=lgrey
hs1 453602 454699 hs10 3187035 3185938 color=lgrey
hs1 455411 456004 hs10 3185228 3184635 color=lgrey
hs1 456025 456843 hs10 3184614 3183796 color=lgrey
hs1 456965 458203 hs10 3183674 3182457 color=lgrey
hs1 458456 459460 hs10 3182195 3181191 color=lgrey
hs1 459474 461018 hs10 3181178 3179640 color=lgrey
hs1 461109 463667 hs10 3179542 3176984 color=lgrey
hs1 463746 464237 hs10 3176905 3176447 color=lgrey
hs1 464268 464888 hs10 3176385 3175765 color=lgrey
hs1 464893 465951 hs10 3175760 3174702 color=lgrey
hs1 466195 467499 hs10 3174458 3173145 color=lgrey
hs1 467954 469369 hs10 3172690 3171275 color=lgrey
hs1 469431 470045 hs10 3171213 3170596 color=lgrey
hs1 470128 470742 hs10 3170513 3169899 color=lgrey
hs1 471083 471973 hs10 3169558 3168668 color=lgrey
hs1 471994 473694 hs10 3168647 3166947 color=lgrey
hs1 473755 474711 hs10 3166886 3165930 color=lgrey
hs1 474858 475469 hs10 3165783 3165172 color=lgrey
hs1 475530 476405 hs10 3165111 3164236 color=lgrey
hs1 476900 477664 hs10 3163740 3162976 color=lgrey
hs1 477792 478799 hs10 3162849 3161842 color=lgrey
hs1 478833 479801 hs10 3161808 3160840 color=lgrey
hs1 479798 480238 hs10 3160843 3160403 color=lgrey
hs1 480689 481174 hs10 3159953 3159468 color=lgrey
hs1 481236 482039 hs10 3159406 3158603 color=lgrey
hs1 482207 482812 hs10 3158436 3157831 color=lgrey
hs1 483186 484271 hs10 3157447 3156362 color=lgrey
hs1 484297 487227 hs10 3156332 3153420 color=lgrey
hs1 487227 487838 hs10 3153420 3152809 color=lgrey
hs1 487886 489184 hs10 3152761 3151463 color=lgrey
hs1 489202 490602 hs10 3151445 3150045 color=lgrey
hs1 490914 491537 hs10 3149733 3149110 color=lgrey
hs1 491623 492315 hs10 3148111 3147419 color=lgrey
hs1 492474 493142 hs10 3147260 3146592 color=lgrey
hs1 493319 493903 hs10 3146416 3145832 color=lgrey
hs1 494295 495008 hs10 3145440 3144727 color=lgrey
hs1 496563 497696 hs10 3143183 3142050 color=lgrey
hs1 498181 498795 hs10 3141565 3140951 color=lgrey
hs1 498812 499903 hs10 3140934 3139843 color=lgrey
hs1 499992 500492 hs10 3139755 3139264 color=lgrey
hs1 501253 501942 hs10 3138466 3137777 color=lgrey
hs1 502339 505797 hs10 3137365 3133907 color=lgrey
hs1 506305 507198 hs10 3101429 3100536 color=lgrey
hs1 507327 508817 hs10 3100406 3098916 color=lgrey
hs1 510548 513214 hs10 3097479 3094813 color=lgrey
hs1 513302 514222 hs10 3094725 3093805 color=lgrey
hs1 514226 514681 hs10 3093801 3093346 color=lgrey
hs1 514718 515632 hs10 3093310 3092396 color=lgrey
hs1 517335 518384 hs10 3090568 3089519 color=lgrey
hs1 518466 519167 hs10 3089437 3088736 color=lgrey
hs1 519383 519988 hs10 3088521 3087916 color=lgrey
hs1 520034 521062 hs10 3087862 3086834 color=lgrey
hs1 521244 521666 hs10 3086657 3086235 color=lgrey
hs1 521944 522441 hs10 3085956 3085459 color=lgrey
hs1 524182 524718 hs10 3084841 3084305 color=lgrey
hs1 524733 526643 hs10 3084290 3082380 color=lgrey
hs1 526775 527764 hs10 3082238 3081249 color=lgrey
hs1 527935 529050 hs10 3081080 3079965 color=lgrey
hs1 529212 530561 hs10 3079821 3078472 color=lgrey
hs1 531175 531804 hs10 3077845 3077216 color=lgrey
hs1 531979 532767 hs10 3077039 3076251 color=lgrey
hs1 534448 535560 hs10 3076079 3074967 color=lgrey
hs1 536024 536551 hs10 3074596 3074069 color=lgrey
hs1 536870 537985 hs9 699670 698552 color=vvdyellow
hs1 537982 539934 hs9 701619 699667 color=vvdyellow
hs1 539966 540847 hs9 702533 701652 color=vvdyellow
hs1 540844 541779 hs9 703465 702530 color=vvdyellow
hs1 541846 543096 hs9 704781 703531 color=vvdyellow
hs1 543144 544193 hs9 705902 704829 color=vvdyellow
hs1 553731 555215 hs10 3069844 3068360 color=lgrey
hs1 556065 557108 hs10 3067510 3066467 color=lgrey
hs1 557155 558639 hs10 3066423 3064939 color=lgrey
hs1 558641 559594 hs10 3064937 3063984 color=lgrey
hs1 559699 560430 hs10 3063880 3063149 color=lgrey
hs1 560790 561236 hs10 3062789 3062343 color=lgrey
hs1 561237 562604 hs10 3062342 3060975 color=lgrey
hs1 563914 564972 hs10 3060408 3059350 color=lgrey
hs1 565000 566652 hs10 3059322 3057670 color=lgrey
hs1 567372 568835 hs10 3056950 3055487 color=lgrey
hs1 568837 570366 hs10 3055485 3053956 color=lgrey
hs1 570372 570962 hs10 3053959 3053360 color=lgrey
hs1 571132 571680 hs10 3053228 3052641 color=lgrey
hs1 572301 574097 hs10 3052023 3050227 color=lgrey
hs1 574175 575173 hs10 3050149 3049151 color=lgrey
hs1 575298 576293 hs10 3049033 3048038 color=lgrey
hs1 576322 577077 hs10 3048009 3047254 color=lgrey
hs1 577663 578283 hs10 3046668 3046048 color=lgrey
hs1 578287 578946 hs10 3046044 3045385 color=lgrey
hs1 579050 580405 hs10 3045282 3043924 color=lgrey
hs1 580490 581275 hs10 3043841 3043053 color=lgrey
hs1 581537 582535 hs10 3042791 3041793 color=lgrey
hs1 582939 584576 hs10 3041560 3039923 color=lgrey
hs1 584670 585686 hs10 3039828 3038812 color=lgrey
hs1 586156 588291 hs10 3038332 3036197 color=lgrey
hs1 588938 590308 hs10 3035238 3033865 color=lgrey
hs1 590607 591404 hs10 3033621 3032824 color=lgrey
hs1 591573 592304 hs10 3032655 3031924 color=lgrey
hs1 592324 592788 hs10 3031904 3031440 color=lgrey
hs1 593588 594709 hs10 3029011 3027890 color=lgrey
hs1 595666 597222 hs10 3026934 3025378 color=lgrey
hs1 598467 599240 hs10 3024165 3023392 color=lgrey
hs1 599301 600860 hs10 3023331 3021772 color=lgrey
hs1 601240 601698 hs10 3021397 3020939 color=lgrey
hs1 602025 603104 hs10 3020611 3019532 color=lgrey
hs1 603313 604200 hs10 3019323 3018436 color=lgrey
hs1 604758 605351 hs10 3017877 3017263 color=lgrey
hs1 605483 606334 hs10 3017132 3016281 color=lgrey
hs1 606815 608053 hs10 3015402 3014164 color=lgrey
hs1 608050 608757 hs10 3014167 3013460 color=lgrey
hs1 608849 609688 hs10 3013368 3012529 color=lgrey
hs1 610108 610848 hs10 3012082 3011342 color=lgrey
hs1 612674 613276 hs10 3009514 3008912 color=lgrey
hs1 613649 614698 hs10 3008614 3007532 color=lgrey
hs1 618173 618661 hs10 3006721 3006233 color=lgrey
hs1 619115 619555 hs10 3005777 3005346 color=lgrey
hs1 619654 620403 hs10 3005247 3004483 color=lgrey
hs1 621063 621776 hs10 3003765 3003052 color=lgrey
hs1 621978 623174 hs10 3002850 3001654 color=lgrey
hs1 624659 625639 hs10 2998994 2998014 color=lgrey
hs1 626373 628709 hs10 2997280 2994944 color=lgrey
hs1 631585 633090 hs10 2994744 2993359 color=lgrey
hs1 633782 634375 hs10 2993055 2992459 color=lgrey
hs1 635894 637126 hs10 2992257 2991025 color=lgrey
hs1 637172 637801 hs10 2990979 2990350 color=lgrey
hs1 637836 638714 hs10 2990316 2989438 color=lgrey
hs1 638820 639758 hs10 2989302 2988394 color=lgrey
hs1 639840 642095 hs10 2987115 2985022 color=lgrey
hs1 642754 643584 hs10 2984192 2983353 color=lgrey
hs1 643581 644876 hs10 2983356 2982061 color=lgrey
hs1 644917 646086 hs10 2982020 2980851 color=lgrey
hs1 646245 647108 hs10 2980692 2979829 color=lgrey
